cron_script_path,id,job_name,cron_output_file_path,csep_home,log_dir,file_base_name,sample_log_file_path,cron_interval
/usr/local/csep/cronjobs/dispatcher_ANSS1985_forecasts.tcsh,1,Dispatcher_ANSS1985_One_Day_Forecast,/home/csep/crontab_logs/daily_ANSS1985_forecasts_log.txt,/home/csep/operations,/dispatcher/logs,dailyANSS1985_,/home/csep/operations/dispatcher/logs/2016_12/dailyANSS1985_2016-12-7-000001,00 00  *   *   *
/usr/local/csep/cronjobs/dispatcher_ANSS1985.tcsh,2,Dispatcher_ANSS1985_One_Day_RELM_Forecast_Compressed,/home/csep/crontab_logs/daily_ANSS1985_log.txt,/home/csep/operations,/dispatcher/logs,dailyANSS1985_,/home/csep/operations/dispatcher/logs/2016_12/dailyANSS1985_2016-12-7-001002,10 00  *   *   *
/usr/local/csep/cronjobs/dispatcher_ANSS1985_one_day.tcsh,3,Dispatcher_ANSS1985_One_Day_RELM_Forecast,/home/csep/crontab_logs/one_day_ANSS1985_log.txt,/home/csep/operations,/dispatcher/logs,dailyANSS1985_,/home/csep/operations/dispatcher/logs/2016_12/dailyANSS1985_2016-12-7-040501,05 04  *   *   *
/usr/local/csep/cronjobs/dispatcher_ANSS1932.tcsh,4,Dispatcher_ANSS1932_3_Month_Forecast,/home/csep/crontab_logs/daily_ANSS1932_log.txt,/home/csep/operations,/dispatcher/logs,dailyANSS1932_,"/home/csep/operations/dispatcher/logs/2016_12/dailyANSS1932_2016-12-7-002001",20 00  *   *   *
/usr/local/csep/cronjobs/dispatcher_ANSS1932_notFiltered.tcsh,5,Dispatcher_ANSS1932_3_Month_Not_Filtered,/home/csep/crontab_logs/daily_ANSS1932_notFiltered_log.txt,/home/csep/operations,/dispatcher/logs,dailyANSS1932NotFiltered_,/home/csep/operations/dispatcher/logs/2016_12/dailyANSS1932NotFiltered_2016-12-7-003001,30 00  *   *   *
/usr/local/csep/cronjobs/batch_ANSS1985_30min.tcsh,6,Dispatcher_ANSS1985_30_Min,/home/csep/crontab_logs/daily_30min_crontab_log.txt,/home/csep/operations,/dispatcher/logs,batchDailyANSS1985_,/home/csep/operations/dispatcher/logs/2016_12/batchDailyANSS1985_2016-12-7-003501,35 00  *   *   *
/usr/local/csep/cronjobs/batch_ANSS1985_30min_TWTests.tcsh,7,Dispatcher_ANSS1985_30_Min_TWTests,/home/csep/crontab_logs/daily_30min_TWtests_crontab_log.txt,/home/csep/operations,/dispatcher/logs,batchTWTestsANSS1985_,/home/csep/operations/dispatcher/logs/2016_12/batchTWTestsANSS1985_2016-12-7-004001,40 00  *   *   *
/usr/local/csep/cronjobs/dispatcher_ANSS1985_M2_95.tcsh,8,Dispatcher_ANSS1985_M2_95,/home/csep/crontab_logs/daily_anss1985_M2.95_crontab_log.txt,/home/csep/operations,/dispatcher/logs,dailyANSS1985_M2.95_,,50 00  *   *   *
/usr/local/csep/cronjobs/dispatcher_ANSS1932_notFiltered_Md2_one_day.tcsh,9,Dispatcher_ANSS1932_Not_Fitered_MD2_Day_One,/home/csep/crontab_logs/one_day_ANSS1932_notFiltered_Md2_log.txt,/home/csep/operations,/dispatcher/logs,dailyANSS1932NotFilteredMd2OneDay_,,10 09  *   *   *
/usr/local/csep/cronjobs/dispatcher_ANSS1932_notFiltered_Md2.tcsh,10,Dispatcher_ANSS1932_Not_Fitered_MD2,/home/csep/crontab_logs/daily_ANSS1932_notFiltered_Md2_log.txt,/home/csep/operations,/dispatcher/logs,dailyANSS1932NotFilteredMd2_,,30 09  *   *   *
/usr/local/csep/configuration/testing-regions/NWPacific/cronjobs/dispatcher_one_year.tcsh,12,Dispatcher_NWPacific_One_Year,/home/csep/crontab_logs/NWPacific_1year.txt,/home/csep/operations,/dispatcher/logs/WesternPacific,nw_one_year_,,00 00  *   *   *
/usr/local/csep/configuration/testing-regions/NWPacific/cronjobs/dispatcher_daily.tcsh,14,Dispatcher_NWPacific_Daily,/home/csep/crontab_logs/NWPacific_1day.txt,/home/csep/operations,/dispatcher/logs/WesternPacific,nw_daily_,,05 01  *   *   *
/usr/local/csep/configuration/testing-regions/SWPacific/cronjobs/dispatcher_one_year.tcsh,15,Dispatcher_SWPacific_One_Year,/home/csep/crontab_logs/SWPacific_1year.txt,/home/csep/operations,/dispatcher/logs/WesternPacific,sw_one_year_,,00 00  *   *   *
/usr/local/csep/configuration/testing-regions/SWPacific/cronjobs/dispatcher_daily.tcsh,16,Dispatcher_SWPacific_Daily,/home/csep/crontab_logs/SWPacific_1day.txt,/home/csep/operations,/dispatcher/logs/WesternPacific,sw_daily_,,05 02  *   *   *
/usr/local/csep/configuration/testing-regions/Global/cronjobs/dispatcher_one_year.tcsh,17,Dispatcher_Global_One_Year,/home/csep/crontab_logs/Global_1year.txt,/home/csep/operations,/dispatcher/logs/Global,global_one_year_,,30  00  *   *   *
/usr/local/csep/configuration/testing-regions/Global/cronjobs/dispatcher_one_year_V12.1.tcsh,18,Dispatcher_Global_One_Year_V12.1,/home/csep/crontab_logs/Global_1year_V12.1.txt,/home/csep/operations,/dispatcher/logs/Global,global_one_year_V12.1_,,00  12  *   *   *
/usr/local/csep/configuration/testing-regions/Global/cronjobs/dispatcher_one_year_V14.1.tcsh,19,Dispatcher_Global_One_Year_V14.1,/home/csep/crontab_logs/Global_1year_V14.1.txt,/home/csep/operations,/dispatcher/logs/Global,global_one_year_V14.1_,,00  08  *   *   *
/usr/local/csep/configuration/testing-regions/Global/cronjobs/dispatcher_one_year_0.1degree_V14.4.tcsh,20,Dispatcher_Global_One_Year_0.1_degree_V14.1,/home/csep/crontab_logs/Global_1day_V14.4.txt,/home/csep/operations,/dispatcher/logs/Global,global_one_day_V14.4_,,00  06  *   *   *
/usr/local/csep/configuration/testing-regions/OceanicTransformFaults/cronjobs/dispatcher_daily.tcsh,21,Dispatcher_OceanTransformFauts_daily,/home/csep/crontab_logs/OceanicTransformFaults_1day.txt,/home/csep/operations,/dispatcher/logs/Global,oceanic_transform_faults_daily_,,35  00  *   *   *
